Medicine,Condition,Review
Sitagliptin,"Diabetes, Type 2","""If I would be more compliant with my diet and exercise regimen, Januvia would help me stay under 6.  No noticeable side effects, although after reading other reviews, possibly the lack of sleep might be attributed to it.  I had some joint pain but I take CoQ10 and that made it go away.  Not sure if that was from Januvia or the statins.  Overall, I like it.  Can&#039;t wait until, with better compliance, I can come off these costly medicines."""
Invokana,"Diabetes, Type 2","""I&#039;ve been trying to keep on this medication, but I don&#039;t think I can. Dr prescribed 100mg for 1 week, then 300mg. Within 2 weeks I had my very first ever (I&#039;m 58) yeast infection. My privates were inflamed and very painful. Took OTC yeast meds.

I called the Dr office and he reduced it back down to 100 mg. Now about 10 days later, I have fissures in my vulva. 

Dr assistant insists that I don&#039;t use toilet paper to wipe after urination, but those new wipes that have been out for a few years. I tried but most of them but even the baby wipes are very heavily perfumed. So I bought unscented, sensitive skin baby wipes. They are better, but my skin is still too sensitive for them. Lots of other side effects. I&#039;m not doing well on this med."""
Humalog KwikPen,"Diabetes, Type 2","""It is the only insulin that gives me instant results (within 5 minutes)."""
Byetta,"Diabetes, Type 2","""5mg did not keep my numbers down.  10 mg works wonders however I am dizzy everyday on 10 mg."""
Liraglutide,"Diabetes, Type 2","""My diabetes was out of control (300&#039;s), my Dr. put me on Victoza and I have never had such good readings. I have lost 5 pounds. The medicine sort of makes me feel full or a little nausea, but nothing bad at all. I&#039;m so happy with it and so excited with the results. Thanks Victoza"""
Trulicity,"Diabetes, Type 2","""After reading many reviews, I fully expected to be nauseated. Checked my work schedule to see when best time was to call in sick so I&#039;d know when to start. Bought Gravel too. Took my first shot last week. Side effects: NONE. Good effects: sugars are rapidly falling. I&#039;m shocked. But very happy. Worth a try."""
Invokana,"Diabetes, Type 2","""I found this drug to be quite problematic for me.  It caused such severe dehydration after shifting to the 300mg dosage that I could not get through a night&#039;s sleep without awakening to excruciatingly painful leg and foot cramps that thoroughly awakened me.  I would also awake at night and in the morning, feeling as if someone had poured sand in my eyes.  Even my eyes were dehydrated.  I attempted to address the dehydration by drinking as much as a gallon and a half of water per day, with a lot of water before bedtime.    Constant urination (of course!) No real effect on my glucose readings.  Prior to starting Invokana I had started a no sugar/starch diet, and returned to daily exercise which brought my numbers down more than Invokana."""
Liraglutide,"Diabetes, Type 2","""I was nothing but sick on this med. Severe intestinal diarrhea and abdominal pain. In effort to overcome all the dreadful side effects, I went on Paleo diet. No wheat, dairy, sugar, peanut or legume type beans. within a year I was off all diabetic meds.  Yes it is radical life style change, but far better then injecting poison."""
Saxagliptin,"Diabetes, Type 2","""I am a type 2 diabetic for 13 years, insulins- Lantus and Novolog Flex Pen. Actos/Metformin. Sugar was still high, A1C 11.9. I know it says not to be used with insulin, but Doctor said it would benefit me to lower my levels.  Adding this dropped my A1C level to 6.5. Big difference, with no side effects for me."""
Glucophage XR,"Diabetes, Type 2","""I have been taking glucophage ER for 4 weeks.  The first couple of weeks it made me very sick.  I was told this was normal and to try to hold out and the side effects would stop.  They seemed to and then the dose was increased and I am sick again.  It works really well to get my sugar down.  Before I started  it was an average of 146 or 6.7 for A1C
Now the average is 101.  Since it is working I am going to hold on for a few more weeks.  I have been told that some people get used to it much faster than I have and some people take a few months."""
Linagliptin,"Diabetes, Type 2","""I have tried a few drugs now that are for type 2 Diabetes.  My regular DR sent me to a specialist and she had me try Tradjenta, she said it would help me curb my hungry and such to which it did. The big down fall was that my Blood Sugar went sky rocketing I am also on Lantus pen slow release at night time. We upped my intake at night and it was even higher on fasting.  I have experienced weight gain even though I am not eating as much or carbs.  I have called every week with updates on the issues that I am having with no response from the DR. as of yet.  I have stopped taking this drug and back to just diet and exercise and Lantus at night before bed and guess what, my BS is lower by almost 50 points and this is just one day !"""
Victoza,"Diabetes, Type 2","""I&#039;ve been using victoza for 3 months now. 1.6 for few weeks then 1.8.  I had one night of sickness at beginning and another recently but in general it&#039;s more like the thought of eating food that makes me feel sick. My bowel and stomach feels a lot like I need to have an evacuation but I&#039;ve not had diarrhea. As for weight loss I&#039;ve gone from over 17 stone to 14st 7lbs in 3 months without doing anything. My Hbc1a has dropped from over 25 to around 7.. So everything is pretty amazing. I&#039;m lucky that it&#039;s free for me in UK but it did take a few years to get it prescribed by my diabetic specialist nurse.  I don&#039;t know if there are any long term side effects but at present I believe it has changed and saved my life."""
Liraglutide,"Diabetes, Type 2","""When I first started taking Victoza I got pretty sick on my stomach. So much so that I couldn&#039;t eat hardly anything. I lost a good bit of weight pretty fast, but I wasn&#039;t eating much at all. I tried taking a ginger suplement which helped a little. Mainly, you just have to get used to it. After a couple of months it was better as far as feeling sick. However, my 2 main goals were met - getting my blood sugar under control and losing weight. I have been on it for 9 months and lost over 35 pounds! I feel great now and my last HbA1c was less than 6 (it had been over 11). I was able to cut my metformin in half. """
Byetta,"Diabetes, Type 2","""As a prediabetic, I am anxious to not hit a &quot;tipping point&quot; into full diabetes. I asked my GP for Vitroza, but could only get insurance to cover Byetta. Three weeks later and 25 pounds less, I am thrilled. I still lap swim 3 times a week and lift weights with no hunger or sweet cravings. Also I inject in my thigh with no side effects. WHEW! Thanks Byetta!!"""
Dulaglutide,"Diabetes, Type 2","""Not sure if it&#039;s only the medicine or the endocrinologist prescribed it wrong, but, all I can say is I am sick, sick, sick every day, all day for the past 2 weeks. The second shot was 1.5. Not sure what the first one was, as it was given to me at the Dr&#039;s office. I felt nauseous the whole first week. This week, extreme nausea, acid reflux, loud burping, bloating, lack of appetite and/or disgusted by sight and smell of all foods. Only one good comment: my blood sugar has gone down from 140ish to 110-129 and I also decreased my Lantus units. However, I cannot function like this so I&#039;m stopping this med immediately."""
Metformin,"Diabetes, Type 2","""Have used it for about 9 months. No problems or side effects that I can point directly to the metformin. I take 500mg once a day. Sugar levels are controlled and within my doctor&#039;s recommended range. Lost a few pounds when I started, then no more weight loss that I can say from the medicine."""
Trulicity,"Diabetes, Type 2","""Started taking trulicity after my insurance would not pay for bydureon. I have been on it for 6 months. I would off and on get what is called diabetic fatigue. No energy have to rest.. it has become more frequent. . Now accompanied by feeling dizzy and feeling like about to pass out when exerting myself,  also racing heartbeat.  I won&#039;t be taking this anymore.  I don&#039;t want to feel like that."""
NovoLog Mix 70 / 30,"Diabetes, Type 1","""Very helpful"""
Canagliflozin,"Diabetes, Type 2","""I love this medication. Have lost 40 lbs and my blood sugar greatly improved. Fought the yeast infection by taking a low dose over the counter vaginal yeast suppository 2x per week that was prescribed by my doctor. Only bad thing is that I do have hair loss that I think is from this medication. Hoping it is temporary."""
Canagliflozin,"Diabetes, Type 2","""I took this drug for 6 days. On the third day my sugar dropped to 60. On the sixth day it did it again - hypoglycaemic.. take at your own risk!! very bad drug"""
Glyburide,"Diabetes, Type 2","""Have been taking 1.25mg Glyburide tablet twice a day for the past 2 years. I am not on a strict diet, but my food intake now includes a lot of non-starchy vegetables such as broccoli and dark greens (all types) and unsalted nuts and legumes. I also stopped drinking sodas and now drink plenty of water. This combined with an hour of aerobic exercise 4 days per week has decreased body weight by 50 lbs, and lowered my cholesterol and blood pressure too. Exercising and losing the weight especially around my tummy area really made a big difference as my body is able to process the medicine and food more efficiently.  I haven&#039;t experienced any adverse effects from this drug, but then again I take the lowest dosage possible."""
Exenatide,"Diabetes, Type 2","""Sugars are running 120. Have to be careful though. I have had them drop as low as 73. Have been on Bydureon for 3 months now. Lost little weight. Appetite is completely gone. Probably wouldn&#039;t eat at all, unless I didn&#039;t have to take other medicine. Have found that the bumps go away better if you shot in your legs and mix the solution together for about 10 minutes. Still have bumps in stomach from 3 months ago. Hope they will go away over time. Every once in awhile I have a bad reaction at the injection site. Inching and little pain. Usually goes away in 4 days. The price could&#039;ve been cheaper to start with. Was paying full price. Insurance finally picked up and I&#039;m now paying $74 a month for it. Also taking metformin 2 times a day 500mg each time."""
Victoza,"Diabetes, Type 2","""I have been on Victoza for a little over two weeks now.  This is miracle medicine.  My appetite is greatly diminished.  I started with 0.6mg for 2 weeks and then increased my dose to 1.2mg 3 nights ago.  I can only eat a small portion before feeling completely full.  My last 2 fasting blood sugars have been in the 70&#039;s.  I have lost 8 pounds in two weeks.  The side effects have been very mild for me.  Very little nausea at first, none now.  Some diarrhea and cramping though. Not sure if this is due to the Metformin I have been on for about a month now.  I would highly recommend this medicine especially for anyone who wants to lose the weight.  So far the benefits highly outweigh the risks."""
Trulicity,"Diabetes, Type 2","""Second day after first injection, woke up with the worst case of sour stomach I have ever experienced. Burps were out of control frequent and absolutely disgusting smelling and tasting. Made it to work only to vomit twice in 3 hours... almost messed myself in the process... diarrhea was also in full water effect. Thankfully I was able to leave early (within 1 hour of second episode). I hope these symptoms decrease dramatically and rapidly. Anyone else experience side effects this severe? I am literally unable to leave my bathroom&#039;s side. Can not even attempt to work or leave the house without fear of needing a new outfit. I took 1, 1.5 injection."""
Bydureon,"Diabetes, Type 2","""I have been taking Bydureon for several years. Prior to Bydureon my A1C was 9.2. It&#039;s now 6.4. It took about 6-8 months but the bumps did disappear. The other side effects are now very minimal. I do get bad GI effects if I over eat...but that&#039;s a good deterrent. Over three years and still loving it!"""
Liraglutide,"Diabetes, Type 2","""Tried metformin &amp; other oral meds but none could control my fasting levels &amp; met forming makes me very nauseous.

Endo suggested Victoza. Gave me samples to test. Lost about 10lbs in the first 1-2 weeks of using it. No obvious side effects, initially. Sugar levels seemed to normalize &amp; I had a complete loss of appetite. All seemed well.

The samples ran out &amp; I went for a period not using it while I awaited an endo follow up. I could see the difference in my blood sugar levels when I stopped.

However, after getting back on it the weight loss did not continue. 

The longer I use it the less it works. Now experiencing shortness of breath. Seeing a cardiologist tomorrow.

Side effects I&#039;ve experienced are constipation, extreme fatigue, shortn"""
Metformin,"Diabetes, Type 2","""I was given metformin for borderline type 2 diabetes. It made me want to sleep all the time, caused my sugar to go up, and caused stomach pain.  Obviously this medication is not for me. """
Invokana,"Diabetes, Type 2","""I&#039;ve had Type 2 diabetes since 1990 from pregnancy. I&#039;ve been on the pills, insulin, insulin pump. Before getting on this medication I was on 100 units of Lantus and 60 of Humalog. A1C has been as high as 9.6. On my last appointment before getting on this medication my A1c was 8.6. In 3 -4 months I&#039;ve lost 20 pounds, more energy, fasting between 90-130. I&#039;m only on Lantus 52 units now. The best thing is my A1C went down to 7.6 which had not been that low for 9 years. Double my water intake. Yeast infection a couple of times but none since. This has been a life saver for me."""
Invokana,"Diabetes, Type 2","""This has worked great for me.  I&#039;ve been on it for 5 months and my A1C is 6.1 (down from 7.2).  It is expensive, but if you go to their website, you can sign up for a card that will pay your copay for 1 year (up to $3900).  Basically, I get the medication for free for a year."""
"Insulin inhalation, rapid acting","Diabetes, Type 2","""Best medication ever."""
Invokana,"Diabetes, Type 2","""I took invokana for 9 months after being diagnosed with type 2 diabetes last December. I also changed my eating habits, no junk ,no fried foods, no soda, no sweets and low carb. I lost 47 pounds not sure how much the invokana helped with that .  I did get a wicked yeast infection that never went away .  After researching invokana and realizing how bad some of the side effects can be (kidney cancer or kidney failure), I asked Dr to take me off it, he did as long as I&#039;m keeping blood sugar down in normal range . It&#039;s been 3 months and so far I&#039;m controlling it with diet and exercise. I test my own blood sugar every day and its in normal range. I&#039;d rather do it this way as long as I can. Invokana wasn&#039;t worth the risk, rather try metformin."""
Metformin,"Diabetes, Type 2","""Diabetic for 20 years. This is the second time I&#039;ve used Metformin, works very well. Side effect is terrible, bad breathe."""
Afrezza,"Diabetes, Type 1","""The best for a diabetic type 1. IT&#039;s better than a needles four times a day. Now.it&#039;s only once a day!!
I think it&#039;s worth every penny. I would pay even if my insurance doesn&#039;t cover it. I went to alot of Doctors to get it. Most said no,but I kept trying. IT was worth it!!! DON&#039;t get it if you LOVE needles!!"""
Glimepiride,"Diabetes, Type 2","""Diabetic for 7 years.  Started with Metformin only.  Then added Starlix with meals.  Small improvement with post-prandials.  Exchanged the Starlix with glimepiride.  Have been on glimepiride for 2 and a half years with meals.  Does not prevent my spikes but does pull them down within a short time. The sudden drop makes me feel low when I am just &quot;dropping&quot; FAST into the normal range.  The problem is the time it remains in effect will cause me to be low (50;s) during the night while sleeping if I take with last meal of day.  Without it, I skyrocket after eating and slowly come down.  My doctor is taking me off of glimepiride because of the lows while sleeping and will put me on another med.  My A1C&#039;s have been climbing over the past year."""
Liraglutide,"Diabetes, Type 2","""Been on Victoza for a month.  Nil side affects. Weight is down 8 pds.  Cravings gone.  Perfect drug but still not seeing better glucose, still running in 200s.  Hope the second month brings better control."""
Dapagliflozin,"Diabetes, Type 2","""This medication was awful. My numbers were never very good with this medication but I gave it a chance to work. It landed me in the hospital. I couldn&#039;t urinate cause my kidneys were failing. I do not recommend this medication at all!!!"""
Dulaglutide,"Diabetes, Type 2","""first dose .75 of Trulicity is my last. Only able to work 1 day out of 8. Doctor really downplayed the side effects. Vomiting every day, can&#039;t eat (or keep down any food), diarrhea is consistency of water.
Absolutely a HATEFUL drug!"""
Exenatide,"Diabetes, Type 2","""Started taking Byetta three weeks ago, no real problems associated with it other than constipation which I hate. I have never ever had this problem in my life. My numbers went up a few points the first week but on the second week has been at 100-140. I can live with that, better than the 200-300 I was at with pills. Not eating as much lost 5 pounds so far and I don&#039;t get as hungry as often as I did. So far it&#039;s working."""
Liraglutide,"Diabetes, Type 2","""I started Victoza in March 2012. I started out at 0.6, gradually worked up became too nauseated on higher dose. Went back to 0.6 and have done wonderful. At first I had no appetite at all. Slowly it came back to about half of what it was. Glad to state that I was in a 22/24 or 2x clothes. I can now wear clothes that were very snug, they are now loose. I am buying xl shirts. I would suggest everyone that needs diabetic medication. It is a little up and down at first but it levels out. People are walking up to me and asking me what I am doing to lose weight and all I can say is it is a bonus of my diabetic medication. My A1c was 7.4 it is now 5.7 thanks to Victoza."""
Victoza,"Diabetes, Type 2","""I think Victoza is the best thing I could have ever tried! I&#039;ve been overweight my entire life and have been diagnosed with insulin resistance and Polycystic ovarian syndrome.  My doctor prescribed it to me to try to help me with weight loss. I used it a year ago for 4 months (0.6mg) and lost around 12 kg. I then stopped using it (its expensive to buy). My bad eating habits made me gain 5 kg&#039;s. I&#039;m on my first week of using Victoza again and already lost 2.5kg for the first week! If you really want results for weight loss, eat a healthy balanced diet. I know my body doesn&#039;t like red meat - so I&#039;m on veggies, fruits, nuts, eggs and rice products.  You are what you eat, and Victoza helps you to be able to eat healthy foods."""
Insulin glargine,"Diabetes, Type 1","""My daughter is Two year old has been diabetic type 1 since last valentine day.  She uses 2 Units at 7:00 AM and 1.5 units at 7:00 PM. Glargine is great but when used in such small quantity it is very difficult to get accurate dosage using pen. The glargine pen does not have half unit dial and it would be really great if the company introduced a pen more suitable for children.  For now I have to draw insulin with syringe, which is more work and syringe needles are longer so it hurts more."""
Victoza,"Diabetes, Type 2","""I have been on Victoza for quite some time taking the 1.8. and it has not bothered me at all.  I have lost 30 lbs since December of &#039;09 and am losing weight every week, and now down to what I was before 1982.  My clothes are hanging on me and I am loving it.
"""
Invokana,"Diabetes, Type 2","""I have been taking Invokana for about 5 months and I feel great!! My a1c went from 9.8 to 7.4 in 3 months. The only side effects I have noticed is some weight loss. But the weight loss stopped. It does make me really thirsty, small price to pay for controlled blood sugar levels."""
"Insulin inhalation, rapid acting","Diabetes, Type 1","""Since I was on the trials I put 6+ months but I have been back on Afrezza for about 2 weeks.  Afrezza is nothing short of a miracle. I am a type 1 diabetic and my blood sugar average in the past 10 days has been 110. I have a CGM so I have had 2880 readings in the past 10 days.  A 110 average equals to an A1C of 5.45. This is possible because Afrezza mimics the speed of a healthy pancreas. Afrezza starts working in only 12-15 minutes and works out of my system very quickly. This allows me to manage my glucose in real time without babysitting diabetes all day. Even if I do have a high I can knock my sugars back to 100 in a matter of minutes."""
Farxiga,"Diabetes, Type 2","""So far probably the most effective rx I ever taken. In 25 days my a1c has dropped from near 10 to6.5 and the only thing I think I have experienced wrong is some constapation but not terrible. Still in the early stages but if it stays on track-God send."""
Insulin regular,"Diabetes, Type 1","""My Diabetes has never been in such good control ever since I started using Humulin R U-500 Insulin. I recently got an insulin pump and this is the insulin that was used. The insurance I have now will not cover any insulin so I had to stop taking Humulin R U-500 due to the fact I cannot afford the out of pocket costs. I am a hard working woman with a good job but because I am not at the poverty level I am unable to get assistance with paying for this insulin. I have been off of this insulin for 2 days and my blood sugars are rising 250-500. I need this insulin and I need help in order to be able to start using it again."""
Humalog KwikPen,"Diabetes, Type 2","""Called Eli Lilly about their humalog 50/50 pen being stuck on 42 and not moving (still has over 180 units left), I was called a cow (slander) by their agent. Won&#039;t use their products anymore, still have the pen lost money on it. Shame on you Eli Lilly"""
Exenatide,"Diabetes, Type 2","""Aside from nervousness for a couple of hours after injection, no major adverse reactions. Unfortunately, my hunger is unabated but I&#039;ve been able to keep my diet healthy. I&#039;ve only been on Byetta for two days now. My doctor had me discontinue Januvia. I&#039;m currently taking Metformin and Glipizide also. We&#039;ll see how it pans out. My A1C&#039;s have been around 7.0 but with huge peaks and valleys. Hopefully things will level out."""
Dulaglutide,"Diabetes, Type 2","""I have been on Trulicity 0.75 for a little over a year. I seem to be nauseated and have headaches each week on the day after. When I first started taking Trulicity it was more like 3-4 days of feeling sick, with horrible headaches. My A1C went from 13 to an 8, (also taking Tresebia daily) and haven&#039;t noticed any side affects, with the exception that when I would take both shots first thing I the morning (on opposite side). I find that when taking both of these medications I take Tresebia first thing in the morning everyday, and Trulicity around noon (once per wk.) making sure to shoot them on opposite sides, this has so far helped with the nausea and headaches. Also sipping on lemon water with crushed ice. Hope this helps."""
Insulin glargine,"Diabetes, Type 2","""I&#039;ve been taking Toujeo for about 3 weeks now.  I previously used Lantus.  Was able to use a drug card to get Toujeo price really low.  But, my sugars have been all over the place.  I have had 350 highs and 74 lows, up and down, with no real reason.  For example, two nights ago, my bedtime reading was 114 and the next morning, without eating anything, my reading was 353!!  No reason.  Anyone else having this issue with Toujeo?  Will it level out eventually?"""
Trulicity,"Diabetes, Type 2","""I have been on Trulicity for almost 8 months now. I did have a lot of nausea that little by little   improved over time. I have very little nausea at this point. I have lost 20 lbs since I started using it. My A1C is lower and my sugar is under control. My readings are wonderful. I am on the .75 dose. I tried the 1.50 and had major nausea..I felt awful. So went back to the .75 and  it&#039;s enough to keep my numbers where they need to be. In fact I am off all other diabetes medications now (was on Latus and Meteformin)"""
Canagliflozin,"Diabetes, Type 2","""Type II diabetic since 2003. Been on Metformin, Avandia, glyburide, Lantus, and Novalog either as monotherapy or in combinations. Been on pump since 2007 and got through 2 pregnancies with pump. Endocrinologist recommended this so I can reduce my insulin uptake and hopefully, get off the pump (weight gain and complacent with diet on pump). So far I&#039;ve only been on Invokana 4 days. Lost 8 pounds, reduced appetite, more water intake. Noticed you need to watch carbs or sugar will spike. I&#039;m still on Metformin 2000mg/day and pump but barely any insulin. Will stay on this for a while to see if I can get off the pump (my goal) and lose more weight."""
Farxiga,"Diabetes, Type 2","""I have been on this for the past 9 months, my doctor visit (9 months ago) A1C was at 9.0. I asked if he thought I could try this medicine and he agreed. My most recent visit my A1C had dropped to 6.5. I was afraid that it was still going to be high since I had not changed they way I ate or started exercising. I have always and still do take Janumet twice daily. Also I have experienced absolutely none of the side effects, except frequent urination early on but that has calmed down."""
Dulaglutide,"Diabetes, Type 2","""To early to tell."""
Insulin aspart,"Diabetes, Type 2","""Novolog pen does not glide well when giving yourself a shot. The medication worked well for me with minimal side affects. I have been on it for 2 yrs, but my coupon has expired &amp; I cannot afford it now."""
Victoza,"Diabetes, Type 2","""Took metformin and victoza for about 2 years I lost a lot of weight with it and sugar levels were low. But I only have one kidney. I now have chronic kidney disease because of these medications. I also have a bundle problem with my heart from using victoza.  I was dehydrated all the time with victoza no matter how much water I drank"""
Trulicity,"Diabetes, Type 2","""Wanted to share my experience - I did not take this drug Trulicity - my mum did. My mum took this drug for approx. about 6 months and she lost a lot of weight - however, she seemed to get quite a lot of abdominal pain. 1 night she had to home from work - she was in severe pain in her stomach, vomiting and sweating and ended up in A&amp;E. Turns out she had severe acute pancreatitis - she spent nearly 4 months in hospital. She had necrosis of the pancreas and had most of her pancreas removed. She was extremely ill. She died from clots and a stroke in the end. I am convinced this was started from trucility. DO NOT TAKE THE RISK, READ THE INSTRUCTIONS, STOP WHEN YOU GET SIDE EFFECTS! I lost my mum. I don&#039;t want anyone else to go through the same."""
Bydureon,"Diabetes, Type 2","""I was prescribed Bydureon about 4 months ago when my insurance stopped paying for Byetta. I had been on Byetta for 13 years and it was working well for me. I finally stopped taking Bydureon 3 weeks ago. I was sick the entire time. I did not relate it to Bydureon at first. I was aware my blood sugar was 300-400 while taking Bydureon. I then realized it was because I was originally taking Byetta and Bydureon reacts to the Byetta that is left in the system. My blood sugar never came down much while taking Bydureon. I had a headache constantly, stomach ache, diarrhea, upper respiratory infection, sinus drainage, joint pain, leg pain, feet hurt, my stomach felt full or stuffed all the time. And, my blood sugar remained high."""
Glucotrol,"Diabetes, Type 2","""It worked extremely well for me. It lowers my blood sugar level fast. My doctor changed me to Janumet and Starlix and they are not doing the job. I am going to request that I return to Glucotrol."""
Trulicity,"Diabetes, Type 2","""Initial use info and review. Little dizzy and nausea the first day. So far, blood sugar readings are dropping. Was around 107-117. Now at 83. A1C is at 6.7. Looking forward to dropping THAT number. Next A1C read is in mid July. No other adverse affects so far.

(This &quot;Anti-Spam&quot; verification is ridiculous)"""
Trulicity,"Diabetes, Type 2","""Holy moly. I am 4 weeks into this medication and I feel horrid! My doc told me to stick with it. First week I vomited and felt like I had the flu for 4 days. The second injection was just a little motion sickness. The third injection I had horrible diarrhea and non stop vomiting. I just don&#039;t know how much more I can take. My blood sugars have been perfect though. I just can&#039;t deal with all the vomiting."""
Exenatide,"Diabetes, Type 2","""I have been on Bydureon for 3 months now, I have lost 10lbs. Without trying my blood sugars stay around a 100-120, I also take 2000mg metformin. The mixing is a pain, but its only once a week bumps at injection site and heartburn are my only reactions to the medication, I think its working great!"""
Exenatide,"Diabetes, Type 2","""I&#039;ve been on Bydureon for 18 months, and used Byetta for 8 months before that.  I switched from the Byetta because I couldn&#039;t handle the digestive upset any more, but the results were amazing.  My a1c has come down to the 5.7-5.9 level consistently.  Fasting BG is in the 80s normally.  I haven&#039;t had any of the stomach upset with Bydureon.  The shots are a pain and I don&#039;t think I like the pen very much since I can&#039;t control the shot as well.  I tend to have leakage with the pen and sometimes hit a sensitive spot and it hurts.  But since I started taking this class of drug my health is so much better!  I&#039;ve lost 95 lbs. and the health problems from diabetes have disappeared.  This could be a lifesaver for me!"""
Trulicity,"Diabetes, Type 2","""I have been on the lowest dose of Trulicity for 1.5 weeks and I am IMPRESSED. I have had ZERO side effects, and my blood sugar started decreasing within 2 days! I went from from a fasting bs of 267 to 166 in 2 days. It has been 9 days since my first dose and today my fasting bs was 109. This is amazing. However, I am concerned about the fact that it caused thyroid cancer in mice! Therefore, I do not intend on taking this long term. I will be trying a natural alternative (berberine) once my Trulicity pens are used up to see if it works just as well."""
Exenatide,"Diabetes, Type 2","""Easy to use and once a week is great. Not many problems with it giving me too low blood sugar. The injector is easy to use and really not painful.


 I haven&#039;t been on it long, but I do think I eat less ( mild beneficial anorexia) and actually get a full feeling when eating ( I don&#039;t know about everyone else but I never feel full until I&#039;ve eaten so much that I hurt). I&#039;m looking forward to good A1c results ( my latest was 7.1) and maybe some weight loss too."""
Dulaglutide,"Diabetes, Type 2","""After reading many reviews, I fully expected to be nauseated. Checked my work schedule to see when best time was to call in sick so I&#039;d know when to start. Bought Gravel too. Took my first shot last week. Side effects: NONE. Good effects: sugars are rapidly falling. I&#039;m shocked. But very happy. Worth a try."""
Insulin detemir,"Diabetes, Type 2","""I have been using this insulin for 2 years, my fasting reads are over 200. I feel tired, muscle and joint pain. 
I use it along with novorapid, and no effectiveness what so ever.  My doctor is certain that this is the right one for me."""
Afrezza,"Diabetes, Type 2","""I have been on Afrezza for about 18 months and I love it. My A1c is 6.1 which is non diabetic. I take no other medication for diabetes. The standard for my condition calls for taking long acting insulin with Afrezza which I do not do. I pay $100 a month copay for Afrezza. I also have to pay $175 annual deductible for tier 4 drugs. I am willing to pay the extra cost because Afrezza is closest to natural insulin. I understand the once in the bloodstream Afrezza is indistinguishable from naturally produced insulin. I was diagnosed with 3rd degree kidney failure when on Metformin. I am not a doctor or scientist but I do not see how natural Insulin could hurt my kidneys. I love the fact I can cover high carb treats with extra units of Afrezza."""
Metformin,"Diabetes, Type 2","""Helped to control my diabetes. No side effects now I am in the normal range."""
Symlin,"Diabetes, Type 1","""Blood glucose levels do not bounce around as much since I began using this."""
Bydureon,"Diabetes, Type 2","""The cost of this medication is $721.25 per month this is absolutely crazy.  The prescription card that was supplied was supposed to assist with the cost for 12 weeks at $25.00 I was definitely bamboozled.  Will not be purchasing this overly priced medication."""
Empagliflozin / linagliptin,"Diabetes, Type 2","""I have been on this medicine for almost a year. It really does bring your diabetes under control. My A1C has remained a 6 since being on this medication. The down side is I have issues with being too low. While taking this medicine I experience low numbers at night. So I have wake up through the night to drink something to maintain good glucose numbers. I have also experienced other side effects such as yeast infections, low numbers, weakness,dizziness and joint pain.  This is a great medicine for keeping your numbers under control but this medicine seems to be too powerful for me. I have found my self cutting back to a couple times a week taking this medication. Besides the side effects great medicine!!!"""
Insulin glargine,"Diabetes, Type 2","""My doctor prescribed lantus at an increase of two units every three days until my fasting sugars are at 120 or below.  After two months my readings still range between 250 and 315.  I started at 20 units and am now up to 50.  It probably is lowering my blood sugar to some degree, but not significantly.  I need something more effective. At this rate I&#039;ll be up to 80 units daily or more to reach my goal and will suffer side effects from such a high dose.  I feel hungry all the time since using this and I&#039;ve gained weight. """
Exenatide,"Diabetes, Type 2","""I have a A1C 0f 6.2. I am 265 pounds. I just started Bydureon yesterday my Dr. office gave me the  first one free and I  gave myself the first injection. I have had some mild nausea. I have not had the desire to eat very much and in fact went to bed without eating any dinner, had an overall odd full feeling. I am nervous because I have seen so many reviews of people that had a lot of nausea and vomiting, so far so good but it still worries me. I really want to lose weight and feel better."""
Liraglutide,"Diabetes, Type 2","""On Victoza for one week.  Have noticed drop in sugars from 150  to 120 most of the time.  Still have to take 35 units of fast acting at night to get sugars down to 88 at 3:00am.  Take 25 Lantus at night and 50 in morning.  Some burping, constipation. Weight 300 lbs now. Will monitor it.  Only side effect is an increase in heart beat of about 20 at rest and when exercising (from 70 to 90 at night) from 95 to 115 when at gym.  They are still okay.  I take Coreg and lisinopril for heart medication.  Blood pressures is good as usual, 130/75. A1C - 7.7. Will test in 3 months. Had bypass surgery last year. """
Lantus Solostar,"Diabetes, Type 2","""I have been using Lantus La SoloStar for more than 5 years with excellent results. I inject 80 units before bedtime. While the medicine certainly does its job and keeps my sugars in check, I have to agree with the fact that using the plunger mechanism is a nuisance quite frequently. I have large hands so the small hand complaint is not my issue -- it&#039;s a matter of the amount of force required to push the plunger to make it operate that&#039;s the problem. It would be appreciated if the manufacturer would take peoples complaints into consideration and redesign the plunger system. I have used other such pens in the past in an effort to help control my sugars and their plungers were nowhere near as difficult as the Lantus."""
Dulaglutide,"Diabetes, Type 2","""I was told that this would cause gastroparisis, and it has. 7th week on it and it is so bad that I can&#039;t sleep. Bloated abdomen and sharp cramping pain in upper abd. No appreciable impact on daily blood sugar. No wt loss, rather a gain. Muscle tightness in heck and head, leading to headaches. 
I was doing ok with daily victoza but insurance wouldn&#039;t cover it and made me switch."""
Liraglutide,"Diabetes, Type 2","""I began taking this drug at the 1.2 mg level. Within a half day I began having serious side effects. I thought I had a very bad virus. I had headache chills nausea vomiting diarrhea insomnia. I missed 3 days of work. I stopped taking the drug. A month later I tried it again at the .6 mg level. First half day ok w just no appetite but then all happened again- vomiting and this time cold symptoms. I began having horrible diarrhea last night and called off work today. This is 48 hours after I stopped taking it. I threw rest away this drug feels like poison to my body"""
